"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1316",2019-01-07,83.23,2612335,82.57,"$83.92","$81.45",-0.660000000000011,0,0,0,0,0,0,0,0,0
"1317",2019-01-04,82.68,3757991,80.88,"$83.95","$80.77",-1.80000000000001,0,0,0,0,0,0,0,0,0
"1318",2019-01-03,80,6426190,83.26,"$83.26","$78.38",3.26000000000001,1,0,0,0,0,0,0,0,0
"1319",2019-01-02,84.18,2973381,81.69,"$84.29","$81.41",-2.49000000000001,0,0,0,0,0,0,0,0,0
"1320",2018-12-31,83.73,2663686,83.74,"$84.61","$82.92",0.00999999999999091,1,0,0,0,0,0,0,0,0
"1321",2018-12-28,83.17,2254042,83.54,"$84.74","$82.63",0.370000000000005,1,0,0,0,0,0,0,0,0
"1322",2018-12-27,83.04,4116886,82.82,"$83.5093","$79.44",-0.220000000000013,0,0,0,0,0,0,0,0,0
"1323",2018-12-26,83.8,5238488,79.85,"$83.98","$79.85",-3.95,0,0,0,0,0,0,0,0,0
"1324",2018-12-24,79.12,3338602,80.91,"$81.26","$79.05",1.78999999999999,1,0,0,0,0,0,0,0,0
"1325",2018-12-21,81.47,10678190,84.04,"$85.50","$81.25",2.57000000000001,1,0,0,0,0,0,0,0,0
"1326",2018-12-20,84.41,3825433,86.28,"$86.89","$83.26",1.87,1,0,0,0,0,0,0,0,0
"1327",2018-12-19,86.37,2507233,87.78,"$88.69","$85.39",1.41,1,0,0,0,0,0,0,0,0
"1328",2018-12-18,87.8,3238678,87.17,"$88.88","$87.17",-0.629999999999995,0,0,0,0,0,0,0,0,0
"1329",2018-12-17,86.21,3976783,87.88,"$88.15","$85.92",1.67,1,0,0,0,0,0,0,0,0
"1330",2018-12-14,87.74,2671779,86.58,"$89.85","$86.58",-1.16,0,0,0,0,0,0,0,0,0
"1331",2018-12-13,87.48,3636677,89.63,"$90.15","$86.23",2.14999999999999,1,0,0,0,0,0,0,0,0
"1332",2018-12-12,89.63,2550315,88.92,"$90.295","$88.35",-0.709999999999994,0,0,0,0,0,0,0,0,0
"1333",2018-12-11,88.14,4131953,89.49,"$89.65","$87.53",1.34999999999999,1,0,0,0,0,0,0,0,0
"1334",2018-12-10,88.55,3089003,88.05,"$89.87","$87.07",-0.5,0,0,0,0,0,0,0,0,0
"1335",2018-12-07,88.23,4979434,92.24,"$92.65","$87.61",4.00999999999999,1,0,0,0,0,0,0,0,0
"1336",2018-12-06,93.03,3751070,90.94,"$93.23","$90.1685",-2.09,0,0,0,0,0,0,0,0,0
"1337",2018-12-04,91.94,5543464,95.03,"$95.53","$90.54",3.09,1,0,0,0,0,0,0,0,0
"1338",2018-12-03,96.46,2666465,97.67,"$97.85","$95.96",1.21000000000001,1,0,0,0,0,0,0,0,0
"1339",2018-11-30,96.7,4033563,94.9,"$96.80","$94.90",-1.8,0,0,0,0,0,0,0,0,0
"1340",2018-11-29,95.07,3460790,94.04,"$95.45","$94.03",-1.02999999999999,0,0,0,0,0,0,0,0,0
"1341",2018-11-28,94.48,3383822,94.11,"$94.72","$93.42",-0.370000000000005,0,0,0,0,0,0,0,0,0
"1342",2018-11-27,93.38,4035884,92.37,"$94.1929","$92.1283",-1.00999999999999,0,0,0,0,0,0,0,0,0
"1343",2018-11-26,91.75,4145865,95.56,"$95.81","$91.73",3.81,1,0,0,0,0,0,0,0,0
"1344",2018-11-23,94.84,2688683,93.27,"$95.075","$92.79",-1.57000000000001,0,1,0,0,0,0,0,0,0
"1345",2018-11-21,92.86,3771561,91.92,"$93.38","$91.82",-0.939999999999998,0,0,0,0,0,0,0,0,0
"1346",2018-11-20,91.77,3232245,91.2,"$92.79","$90.45",-0.569999999999993,0,0,0,0,0,0,0,0,0
"1347",2018-11-19,92.09,2677804,92.32,"$92.95","$91.16",0.22999999999999,1,0,0,0,0,0,0,0,0
"1348",2018-11-16,92.26,2833250,91.84,"$92.60","$90.07",-0.420000000000002,0,0,0,0,0,0,0,0,0
"1349",2018-11-15,91.98,3691475,91.4,"$92.66","$89.02",-0.579999999999998,0,0,0,0,0,0,0,0,0
"1350",2018-11-14,91.79,2316111,93.03,"$93.47","$91.38",1.23999999999999,1,0,0,0,0,0,0,0,0
"1351",2018-11-13,92.6,3696571,91.63,"$93.38","$91.63",-0.969999999999999,0,0,0,0,0,0,0,0,0
"1352",2018-11-12,91.2,2903199,92.36,"$92.69","$91.03",1.16,1,0,0,0,0,0,0,0,0
"1353",2018-11-09,92.35,4254067,92.41,"$93.60","$91.74",0.0600000000000023,1,0,0,0,0,0,0,0,0
"1354",2018-11-08,92.56,2460310,92.09,"$92.85","$91.53",-0.469999999999999,0,0,0,0,0,0,0,0,0
"1355",2018-11-07,92.16,3791948,90.22,"$92.33","$89.65",-1.94,0,0,0,0,0,0,0,0,0
"1356",2018-11-06,89.64,2176629,90,"$90.25","$88.83",0.359999999999999,1,0,0,0,0,0,0,0,0
"1357",2018-11-05,89.47,2710100,88.98,"$89.82","$88.28",-0.489999999999995,0,0,0,0,0,0,0,0,0
"1358",2018-11-02,88.68,3304765,88.47,"$90.28","$88.005",-0.210000000000008,0,0,0,0,0,0,0,0,0
"1359",2018-11-01,88.04,3385767,85.62,"$88.47","$85.62",-2.42,0,0,0,0,0,0,0,0,0
"1360",2018-10-31,85.51,3796462,87.25,"$87.70","$85.37",1.73999999999999,1,0,0,0,0,0,0,0,0
"1361",2018-10-30,85.85,4358411,84.38,"$86.25","$84.38",-1.47,0,0,0,0,0,0,0,0,0
"1362",2018-10-29,84.99,3829825,85.98,"$86.95","$83.92",0.990000000000009,1,0,0,0,0,0,0,0,0
"1363",2018-10-26,84.63,3364347,84.1,"$85.58","$82.84",-0.530000000000001,0,0,0,0,0,0,0,0,0
"1364",2018-10-25,85.6,4328610,82.69,"$86.27","$82.48",-2.91,0,0,0,0,0,0,0,0,0
"1365",2018-10-24,82.19,5220831,86.07,"$86.71","$81.92",3.88,1,1,0,0,0,0,0,0,0
"1366",2018-10-23,86.33,5703922,87.02,"$87.61","$84.435",0.689999999999998,1,0,0,0,0,0,0,0,0
"1367",2018-10-22,88.61,3819921,87.84,"$89.23","$87.34",-0.769999999999996,0,0,0,0,0,0,0,0,0
"1368",2018-10-19,87.43,4581744,87.26,"$88.83","$87.02",-0.170000000000002,0,0,0,0,0,0,0,0,0
"1369",2018-10-18,87.09,4979782,89,"$89.61","$86.52",1.91,1,0,0,0,0,0,0,0,0
"1370",2018-10-17,88.49,10326140,88.02,"$89.48","$86.16",-0.469999999999999,0,0,0,0,0,0,0,0,0
"1371",2018-10-16,83.52,4897205,81.6,"$84.21","$81.23",-1.92,0,0,0,0,0,0,0,0,0
"1372",2018-10-15,81.34,3508328,80.4,"$81.95","$80.10",-0.939999999999998,0,0,0,0,0,0,0,0,0
"1373",2018-10-12,80.18,2798823,81.31,"$81.47","$79.3283",1.13,1,0,0,0,0,0,0,0,0
"1374",2018-10-11,80.12,5567062,81.09,"$81.98","$78.93",0.969999999999999,1,0,0,0,0,0,0,0,0
"1375",2018-10-10,78.93,5573768,82.8,"$82.80","$78.87",3.86999999999999,1,0,0,0,0,0,0,0,0
"1376",2018-10-09,81.43,4130265,83.71,"$84.41","$81.28",2.27999999999999,1,0,0,0,0,0,0,0,0
"1377",2018-10-08,83.68,2897333,84,"$84.49","$82.37",0.319999999999993,1,0,0,0,0,0,0,0,0
"1378",2018-10-05,84.14,4242778,86.12,"$86.75","$84.02",1.98,1,0,0,0,0,0,0,0,0
"1379",2018-10-04,86.04,2751824,87.03,"$87.76","$85.52",0.989999999999995,1,0,0,0,0,0,0,0,0
